# This automated data download from the USGS sediment portal have not received director's approval and as such are provisional and are subject to revision. The data are released on the conditions that neither the USGS nor the United States Government may be held liable for any damages resulting from its use.
#
# Field name  Field description  Units  
# SITE_NO   USGS site identifier    
# STATION_NM   USGS site name    
# DATETIME   Date/time of sample collection    
# DCOMMENT   Quality control comment on the relation of SSC with daily flow    
# ICOMMENT   Quality control comment on the relation of SSC with instantaneous flow    
# SSC   Suspended-sediment concentration   milligrams per liter
"# DAILYFLOW   Discharge, mean daily   cubic feet per second"
"# INSTFLOW   Discharge, instantaneous   cubic feet per second"
# GH   Gage height   feet  
"# P2  Suspended sediment, diameter, percent smaller than 0.002 millimeters.   percent"
"# P4   Suspended sediment, diameter, percent smaller than 0.004 millimeters.   percent"
"# P8   Suspended sediment, diameter, percent smaller than 0.008 millimeters.   percent"
"# P16   Suspended sediment, diameter, percent smaller than 0.016 millimeters.   percent"
"# P31   Suspended sediment, diameter, percent smaller than 0.031 millimeters.   percent"
"# P63   Suspended sediment, diameter, percent smaller than 0.063 millimeters.   percent"
"# P125   Suspended sediment, diameter, percent smaller than 0.125 millimeters.   percent"
"# P250   Suspended sediment, diameter, percent smaller than 0.250 millimeters.   percent"
"# P500   Suspended sediment, diameter, percent smaller than 0.500 millimeters.   percent"
"# P1MILLI   Suspended sediment, diameter, percent smaller than 1.0 millimeters.   percent"
"# P2MILLI   Suspended sediment, diameter, percent smaller than 2.0 millimeters.   percent"
"# LOI   Loss on ignition of total solids, water, unfiltered   milligrams per liter"
"# TSS   Total solids dried at 105 degrees Celsius, water, unfiltered   milligrams per liter"
"# SS   Suspended solids, water, unfiltered   milligrams per liter"
# AGENCYCODE   Agency analyzing sample   NWIS code
# SAMPMETHOD   Sampling method   NWIS code
# SAMPLEPURPOSE   Sampling purpose   NWIS code
# SAMPTYPE   Sampler type   NWIS code
# NUMBERSAMPPTS   Number of Sampling points   NWIS code
# VISITPURPOSE   site visit purpose   NWIS code
# WIDTH   Stream width   feet
# VELOCITY   Stream velocity   feet per second
"# TURB70   Turbidity, water, unfiltered   Jackson Turbidity Units"
"# TURB76   Turbidity, water, unfiltered   nephelometric Turbidity Units"
"# TURB1350   Turbidity, severity   code"
"# TURB61028   Turbidity, water, unfiltered, field   nephelometric Turbidity Units"
"# TURB63675   Turbidity, water, unfiltered, broad band light source (400680 nm), detection angle 90 +/- 30 degrees to incident light   nephelometric Turbidity Units"
"# TURB63676  Turbidity, water, unfiltered, broad band light source (400-680 nm), detectors at multiple angles including 90 +/- 30 degrees, ratiometric correction   nephelometric Turbidity ratio Units"
"# TURB63680  Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +/- 2.5 degrees   formazin nephelometric Units"
"# TEMPC   Temperature, water   degrees Celsius"
"# TEMPAIRC   Temperature, air   degrees Celsius"
"# SC   Specific conductance, water, unfiltered, field   microsiemens per centimeter at 25 degrees Celsius"
"# SCLAB   Specific conductance, water, unfiltered, laboratory   microsiemens per centimeter at 25 degrees Celsius"
"# DSS   Dissolved solids drived at 105 degrees Celcius, water, filtered   milligrams per liter"
"# PH   pH, water, unfiltered, field   standard Units"
"# PHLAB   pH, water, unfiltered, laboratory   standard Units"
# ENDDATE   End date of sample (rarely present; only in the case of composite samples collected over time)   
# ENDTIME  End time of sample (rarely present; only in the case of composite samples collected over time)
#
#
SITE_NO	STATION_NM	DATETIME	DCOMMENT	ICOMMENT	SSC	DAILYFLOW	INSTFLOW	GH	P2	P4	P8	P16	P31	P63	P125	P250	P500	P1MILLI	P2MILLI	LOI	TSS	SS	AGENCYCODE	SAMPMETHOD	SAMPLEPURPOSE	SAMPTYPE	NUMBERSAMPPTS	WIDTH	VELOCITY	TURB70	TURB76	TURB61028	TURB63675	TURB63676	TURB63680	TEMPC	TEMPAIRC	SC	SCLAB	DSS	PH	PHLAB	END_DATE	END_TIME
07022000	MISSISSIPPI RIVER AT THEBES, IL	1976-01-27 14:00:00	G	S	 132	96300								 55																20						 1.5		625			 8.2			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1976-02-26 09:00:00	G	S	 492	196000								 79																170						 7.5		490			 8.3			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1976-03-23 13:10:00	G	S	 463	280000								 64																50						 9.0		520			 7.9			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1976-04-22 10:30:00	G	S	 917	273000								 20								152								35						16.5		438		350	 7.9			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1976-05-20 14:00:00	G	S	 916	269000								 48																60						18.5		515			 8.0			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1976-06-21 14:00:00	G	S	 246	160000								 72																45						25.0		575			 8.2			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1976-07-20 14:30:00	G	S	 114	96100								 78																25						29.5		560			 8.0			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1976-08-17 14:30:00	G	S	 132	98800								 88																10						26.5		575			 8.0			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1976-09-21 13:00:00	G	S	 98	61300								 74																 8						23.5		700			 8.1			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1976-10-22 10:30:00	G	S	 93	68700								 76																 4						13.0		420			 8.1			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1976-11-23 15:30:00	G	S	 57	75000								 72								 36								 8						 6.0		610		420	 7.8			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1976-12-16 13:45:00	G	S	 71	64200								 77																20						 1.5		660			 8.0			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1977-01-18 14:10:00	G	S	 29	54000								 47																 6						0.5		675			 7.7			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1977-02-02 14:30:00	O	S	 182	50000								 6																 7						 1.0		760			 7.8			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1977-03-02 14:20:00	G	S	 203	135000								 54																40						 4.0		600			 8.0			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1977-04-07 11:45:00	G	S	 251	174000								 93																85						14.5		390			 7.8			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1977-05-02 14:30:00	G	S	 173	120000								 58																40						19.0		585			 7.9			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1977-06-14 14:15:00	G	S	 337	109000								 83																75						25.0		535			 8.0			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1977-07-26 09:00:00	G	S	 390	95000								 86								140								95						28.5		400		340	 7.9			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1977-08-24 16:20:00	G	S	 287	118000								 91																120						26.5		550			 7.8			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1977-09-20 14:00:00	G	S	1200	295000								 84																430						21.5		320			 7.8			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1977-10-28 10:15:00	G	S	 420	314000	316000							 95																140						14.5		515			 7.7			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1977-11-30 11:15:00	G	S	 336	146000	144000							 49																50						 5.5		550			 7.6			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1977-12-21 09:30:00	G	S	 600	210000	211000							 40																75						 3.0		440			 7.8			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1978-01-30 13:30:00	G	S	 122	110000	194000							 40																15						 0		750			 7.9			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1978-02-16 10:00:00	G	S	 71	82300	82600							 63																15						 1.5		740			 7.7			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1978-03-29 09:00:00	G	S	1160	634000	625000							 67								780								330						 4.5		300		200	 7.5			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1978-04-25 09:30:00	G	S	1120	514000	513000							 69																400						11.0		390			 7.4			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1978-05-30 14:00:00	G	S	 562	296000	296000							 86																	180					24.0		480			 7.7			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1978-06-28 12:00:00	G	S	 507	250000	251000							 85									80020								170					27.0		470			 7.7			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1978-07-25 14:00:00	G	S	 245	275000	276000							 94									80010								 95					28.5		410			 8.0			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1978-08-17 09:30:00	G	S	 169	148000	146000							 69									80010								 40					28.0		520			 8.1			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1978-09-11 15:00:00	G	S	 75	151000	152000							 60									80010								 1.0					27.5		560			 8.2			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1978-10-02 14:00:00	G	S	 641	201000	200000							 58									80020								 66					21.0		462			 7.8			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1978-11-29 10:00:00	G	S	 395	181000	182000							 33									80010								 68					 6.0		590			 8.1			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1978-12-13 09:00:00	G	S	 191	110000	110000							 52									80020								 31					 1.0		620			 8.0			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1979-01-16 16:45:00	G	S	 42	71100	70000							 57									80020								 4.8					 0		625			 7.8			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1979-03-08 10:00:00	G	S	1450	488000	474000							 83									80020								380					 4.0		406			 7.4			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1979-04-04 11:00:00	G	S	 872	622000	622000							 63									80020								200					 8.5		380			 7.5			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1979-05-30 14:00:00	G	S	 220	309000	309000							 88									80010								 30					21.0		452			 7.6			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1979-06-26 14:00:00	G	S	 423	221000	222000							 33									80010								 33					26.0		555			 7.8			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1979-07-18 09:00:00	G	S	 878	211000	211000							 41									80020								150					28.0		506			 7.8			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1979-08-28 15:30:00	G	S	 321	227000	227000							 81									80010								 87					25.0		525			 8.0			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1979-10-24 13:50:00	G	S	 421	93900	94600							 59									80020								 27					15.5		655			 8.3			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1979-11-19 14:30:00	G	S	 483	155000	155000							 58									80020								 43					 8.5		620			 8.2			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1979-12-19 10:30:00	G	S	 565	105000	106000							 55									80020								 33					 1.5		654			 8.2			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1980-01-21 13:00:00	G	S	 183	115000	117000							 19									80020								 20					 3.0		650			 7.8			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1980-02-26 14:20:00	G	S	 318	147000	148000							 55									80020								 60					 3.0		630			 8.3			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1980-03-25 12:30:00	G	S	 356	234000	230000							 89									80010								130					 7.5		480			 8.0			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1980-04-14 14:30:00	G	S	 703	303000	303000							 62									80020								150					 9.0		468			 8.1			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1980-05-27 14:30:00	G	S	 178	121000	121000							 55									80010								 40					22.0		620			 8.1			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1980-06-16 13:00:00	G	S	 857	257000	256000							 96									80020								480					24.5		475			 7.8			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1980-07-21 13:00:00	G	S	 53	87300	87500							 99									80010								 3.0					30.0		648			 7.8			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1980-08-19 10:30:00	G	S	 251	185000	185000							 49									80010								 45					30.0		529			 7.9			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1980-09-09 12:30:00	G	S	 572	215000	214000							 73									80020								180					26.0		418			 7.7			
07022000	MISSISSIPPI RIVER AT THEBES, IL	1980-10-07 12:28:00	G	S	 565	191000	191000							 32									80020													18.5		490	 484		 8.0	 8.2		
07022000	MISSISSIPPI RIVER AT THEBES, IL	1980-11-03 15:00:00	G	S	 458	131000	132000																80010								 44					11.5		587			 8.2	 8.2		
07022000	MISSISSIPPI RIVER AT THEBES, IL	1980-12-15 12:00:00	G	S	1570	151000	157000																80020								380					 6.0		472	 476			 7.8		
07022000	MISSISSIPPI RIVER AT THEBES, IL	1981-01-19 12:30:00	G	S	 131	64600	63900							 67									80020								 4.7					 2.0		676	 676		 8.2	 7.9		
07022000	MISSISSIPPI RIVER AT THEBES, IL	1981-02-23 12:15:00	G	S	 254	111000	112000							 43									80020								 31					 5.0		599	 601		 8.3	 8.0		
07022000	MISSISSIPPI RIVER AT THEBES, IL	1981-03-30 16:00:00	O	S	 554	86800	90100							 13									80020								 26					14.0		560	 549		 8.2	 8.2		
